tokenid	token	lemma	pos1	pos2	feat	headid	deprel	other1	other2
1	сайт	сайт	N	N	Ncmsnn	3	вспом	_	_
2	территория	территория	N	N	Ncfsnn	1	аппоз	_	_
3	рынок	рынок	N	N	Ncmsan	36	1-компл	_	_
4	работа	работа	N	N	Ncfsnn	5	предик	_	_
5	основа	основа	N	N	Ncfsnn	3	подч-союзн	_	_
6	место	место	N	N	Ncnsan	5	квазиагент	_	_
7	внимание	внимание	N	N	Ncnsan	5	сочин	_	_
8	протяжение	протяжение	N	N	Ncnsan	7	сочин	_	_
9	и	и	C	C	C	8	сочин	_	_
10	база	база	N	N	Ncfsnn	9	соч-союзн	_	_
11	основание	основание	N	N	Ncnsan	3	1-компл	_	_
12	земля	земля	N	N	Ncfsnn	3	аппоз	_	_
13	уровень	уровень	N	N	Ncmsnn	36	3-компл	_	_
14	заказ	заказ	N	N	Ncmsan	13	квазиагент	_	_
15	вопрос	вопрос	N	N	Ncmsan	13	кратн	_	_
16	два	два	M	M	Mcm-a	17	количест	_	_
17	влияние	влияние	N	N	Ncnsan	20	1-компл	_	_
18	данный	данный	P	P	P--msaa	20	дат-субъект	_	_
19	каждый	каждый	P	P	P--msaa	20	1-компл	_	_
20	расположить	расположить	V	V	Vmn----a-p	15	1-компл	_	_
21	тема	тема	N	N	Ncfsnn	20	предик	_	_
22	страница	страница	N	N	Ncfsnn	21	аппоз	_	_
23	как	как	P	P	P-----r	36	обст	_	_
24	я	я	P	P	P-1-snn	36	предик	_	_
25	тот	тот	P	P	P--msna	30	2-компл	_	_
26	1	1	M	M	Mc---d	28	количест	_	_
27	сегодняшний	сегодняшний	A	A	Afpmsaf	28	опред	_	_
28	дом	дом	N	N	Ncmsan	30	3-компл	_	_
29	поверхность	поверхность	N	N	Ncfsan	28	квазиагент	_	_
30	ответить	ответить	V	V	Vmn----a-p	36	1-компл	_	_
31	воздействие	воздействие	N	N	Ncnsan	30	1-компл	_	_
32	следующий	следовать	V	V	Vmpp-sma-ea	31	квазиагент	_	_
33	вы	вы	P	P	P-2-pnn	34	предик	_	_
34	быть	быть	V	V	Vmn----a-e	31	1-компл	_	_
35	затрата	затрат	N	N	Ncmsgn	34	присвяз	_	_
36	посмотреть	посмотреть	V	V	Vmn----a-p	154	предик	_	_
37	или	или	C	C	C	30	1-компл	_	_
38	заявка	заявка	N	N	Ncfsnn	51	пролепт	_	_
39	мой	мой	P	P	P--msna	40	опред	_	_
40	--	--	-	-	-	38	1-компл	_	_
41	человек	человек	N	N	Ncmsny	51	предик	_	_
42	такой	такой	P	P	P--msna	43	опред	_	_
43	рука	рука	N	N	Ncfsnn	45	предик	_	_
44	несколько	несколько	M	M	Mc--a	45	количест	_	_
45	расход	расход	N	N	Ncmsan	41	атриб	_	_
46	день	день	N	N	Ncmsan	48	обст	_	_
47	деньги	деньги	N	N	Ncmpan	48	1-компл	_	_
48	рассчитать	рассчитать	V	V	Vmn----a-p	45	1-компл	_	_
49	русский	русский	N	N	Ncmsny	48	1-компл	_	_
50	их	они	P	P	P-3-pan	51	квазиагент	_	_
51	средство	средство	N	N	Ncnsnn	37	соч-союзн	_	_
52	(	(	-	-	-	51	PUNC	_	_
53	выйти	выйти	V	V	Vmn----a-p	36	сочин	_	_
54	фон	фон	Q	Q	Q	55	огранич	_	_
55	вид	вид	N	N	Ncmsan	53	1-компл	_	_
56	дорога	дорога	N	N	Ncfsnn	55	квазиагент	_	_
57	берег	берег	N	N	Ncmsan	36	разъяснит	_	_
58	практика	практика	N	N	Ncfsnn	57	квазиагент	_	_
59	предприятие	предприятие	N	N	Ncnsnn	36	вводн	_	_
60	мы	мы	P	P	P-1-pnn	68	предик	_	_
61	спрос	спрос	N	N	Ncmsnn	68	предик	_	_
62	2	2	M	M	Mc---d	61	нум-аппоз	_	_
63	идти	идти	V	V	Vmn----a-e	61	1-компл	_	_
64	но	но	C	C	C	61	сочин	_	_
65	чем	что	P	P	P--nsin	66	опред	_	_
66	стена	стена	N	N	Ncfsnn	64	соч-союзн	_	_
67	)	)	-	-	-	66	PUNC	_	_
68	свет	свет	N	N	Ncmsnn	36	разъяснит	_	_
69	участок	участок	N	N	Ncmsan	68	квазиагент	_	_
70	кожа	кожа	N	N	Ncfsnn	69	квазиагент	_	_
71	лицо	лицо	N	N	Ncnsan	135	огранич	_	_
72	нагрузка	нагрузка	N	N	Ncfsnn	135	предик	_	_
73	представить	представить	V	V	Vmn----a-p	72	1-компл	_	_
74	путь	путь	N	N	Ncmsan	73	1-компл	_	_
75	объект	объект	N	N	Ncmsan	73	2-компл	_	_
76	второй	второй	M	M	Momsn	77	опред	_	_
77	счет	счет	N	N	Ncmsan	73	1-компл	_	_
78	выход	выход	N	N	Ncmsan	135	огранич	_	_
79	разрешение	разрешение	N	N	Ncnsan	135	предик	_	_
80	уже	уже	R	R	R	81	огранич	_	_
81	российский	российский	A	A	Afpmsaf	82	опред	_	_
82	отдых	отдых	N	N	Ncmsan	79	1-компл	_	_
83	налог	налог	N	N	Ncmsan	79	сочин	_	_
84	производство	производство	N	N	Ncnsan	83	1-компл	_	_
85	вода	вода	N	N	Ncfsnn	83	аппоз	_	_
86	сумма	сумма	N	N	Ncfsnn	83	сочин	_	_
87	:	:	-	-	-	86	PUNC	_	_
88	расстояние	расстояние	N	N	Ncnsnn	89	1-компл	_	_
89	взять	взять	V	V	Vmn----a-p	79	1-компл	_	_
90	срок	срок	N	N	Ncmsan	89	об-копр	_	_
91	конкурс	конкурс	N	N	Ncmsan	90	предл	_	_
92	кухня	кухня	N	N	Ncfsnn	91	аппоз	_	_
93	также	также	Q	Q	Q	96	огранич	_	_
94	не	не	Q	Q	Q	96	огранич	_	_
95	-	-	-	-	-	94	PUNC	_	_
96	если	если	C	C	C	79	обст	_	_
97	автомобиль	автомобиль	N	N	Ncmsnn	101	1-компл	_	_
98	ни	ни	Q	Q	Q	99	огранич	_	_
99	3	3	M	M	Mc---d	101	обст	_	_
100	английский	английский	A	A	Afpmsnf	101	2-компл	_	_
101	повлиять	повлиять	V	V	Vmn----a-p	96	инф-союзн	_	_
102	установить	установить	V	V	Vmn----a-p	101	1-компл	_	_
103	именно	именно	Q	Q	Q	104	огранич	_	_
104	строительство	строительство	N	N	Ncnsan	102	1-компл	_	_
105	ее	она	P	P	P-3fsan	107	1-компл	_	_
106	большой	большой	A	A	Afpfsif	107	опред	_	_
107	получение	получение	N	N	Ncnsan	104	1-компл	_	_
108	высота	высота	N	N	Ncfsnn	131	1-компл	_	_
109	какой	какой	P	P	P--msna	110	опред	_	_
110	стол	стол	N	N	Ncmsan	108	квазиагент	_	_
111	экран	экран	N	N	Ncmsan	108	аппоз	_	_
112	5	5	-	-	-	131	обст	_	_
113	три	три	M	M	Mc--n	124	суб-копр	_	_
114	разделить	разделить	V	V	Vmn----a-p	124	1-компл	_	_
115	документ	документ	N	N	Ncmsan	114	1-компл	_	_
116	даже	даже	Q	Q	Q	117	огранич	_	_
117	отвечать	отвечать	V	V	Vmn----a-e	114	2-компл	_	_
118	пойти	пойти	V	V	Vmn----a-p	117	1-компл	_	_
119	прием	прием	N	N	Ncmsan	114	1-компл	_	_
120	развитие	развитие	N	N	Ncnsan	119	1-компл	_	_
121	помощь	помощь	N	N	Ncfsan	120	1-компл	_	_
122	специализироваться	специализироваться	V	V	Vmn----m-e	123	опред	_	_
123	взгляд	взгляд	N	N	Ncmsan	121	1-компл	_	_
124	стоять	стоять	V	V	Vmn----a-e	112	предл	_	_
125	указывать	указывать	V	V	Vmn----a-e	124	1-компл	_	_
126	высокий	высокий	A	A	Afpmsnf	127	опред	_	_
127	остров	остров	N	N	Ncmsnn	125	1-компл	_	_
128	выходить	выходить	V	V	Vmn----a-e	131	1-компл	_	_
129	глаз	глаз	N	N	Ncmpgn	128	1-компл	_	_
130	сегодня	сегодня	R	R	R	131	обст	_	_
131	реагировать	реагировать	V	V	Vmn----a-e	102	2-компл	_	_
132	карта	карта	N	N	Ncfsnn	131	неакт-компл	_	_
133	склад	склад	N	N	Ncmsan	102	1-компл	_	_
134	перейти	перейти	V	V	Vmn----a-p	135	огранич	_	_
135	нога	нога	N	N	Ncfsnn	137	предик	_	_
136	компьютер	компьютер	N	N	Ncmsan	135	квазиагент	_	_
137	лежать	лежать	V	V	Vmn----a-e	68	сент-соч	_	_
138	опираться	опираться	V	V	Vmn----m-e	137	1-компл	_	_
139	игра	игра	N	N	Ncfsnn	137	сочин	_	_
140	договор	договор	N	N	Ncmsan	139	сочин	_	_
141	выбор	выбор	N	N	Ncmsan	140	1-компл	_	_
142	товар	товар	N	N	Ncmsan	141	1-компл	_	_
143	сидеть	сидеть	V	V	Vmn----a-e	36	сочин	_	_
144	жизнь	жизнь	N	N	Ncfsan	143	1-компл	_	_
145	прямо	прямо	Q	Q	Q	146	огранич	_	_
146	состояние	состояние	N	N	Ncnsan	36	разъяснит	_	_
147	разный	разный	A	A	Afpmsnf	148	опред	_	_
148	рассчитывать	рассчитывать	V	V	Vmn----a-e	146	1-компл	_	_
149	делиться	делиться	V	V	Vmn----m-e	152	опред	_	_
150	переход	переход	N	N	Ncmsnn	149	1-компл	_	_
151	еще	еще	R	R	R	152	огранич	_	_
152	дача	дача	N	N	Ncfsnn	146	сочин	_	_
153	прийти	прийти	V	V	Vmn----a-p	152	1-компл	_	_
154	материал	материал	N	N	Ncmsan	0	ROOT	_	_
155	юг	юг	N	N	Ncmsan	154	атриб	_	_
156	различный	различный	A	A	Afpmsaf	157	опред	_	_
157	форум	форум	N	N	Ncmsan	155	предл	_	_
158	Украина	украина	N	N	Ncfsnn	174	2-компл	_	_
159	рисунок	рисунок	N	N	Ncmsan	160	1-компл	_	_
160	поставить	поставить	V	V	Vmn----a-p	158	1-компл	_	_
161	покупка	покупка	N	N	Ncfsnn	160	2-компл	_	_
162	продажа	продажа	N	N	Ncfsnn	173	предик	_	_
163	машина	машина	N	N	Ncfsnn	170	1-компл	_	_
164	сцена	сцена	N	N	Ncfsnn	170	2-компл	_	_
165	рабочий	рабочий	N	N	Ncmsny	164	квазиагент	_	_
166	выставка	выставка	N	N	Ncfsnn	165	аппоз	_	_
167	более	более	R	R	R	169	огранич	_	_
168	услуга	услуга	N	N	Ncfsnn	169	вспом	_	_
169	ночь	ночь	N	N	Ncfsan	164	сочин	_	_
170	разместить	разместить	V	V	Vmn----a-p	162	1-компл	_	_
171	действовать	действовать	V	V	Vmn----a-e	170	2-компл	_	_
172	север	север	N	N	Ncmsan	162	аппоз	_	_
173	остановиться	остановиться	V	V	Vmn----m-p	154	разъяснит	_	_
174	попасть	попасть	V	V	Vmn----a-p	173	1-компл	_	_
175	квартира	квартира	N	N	Ncfsnn	154	разъяснит	_	_
176	голова	голова	N	N	Ncfsnn	180	огранич	_	_
177	общий	общий	A	A	Afpmsnf	178	опред	_	_
178	ситуация	ситуация	N	N	Ncfsnn	180	предик	_	_
179	определенный	определенный	A	A	Afpmsaf	180	опред	_	_
180	реклама	реклама	N	N	Ncfsnn	154	разъяснит	_	_
181	пример	пример	N	N	Ncmsan	180	1-компл	_	_
182	официальный	официальный	A	A	Afpmsaf	183	опред	_	_
183	организм	организм	N	N	Ncmsan	181	1-компл	_	_
184	брать	брать	V	V	Vmn----a-e	180	предик	_	_
185	момент	момент	N	N	Ncmsan	184	1-компл	_	_
186	ориентировать	ориентировать	V	V	Vmn----a-e	184	сочин	_	_
187	обучение	обучение	N	N	Ncnsan	186	1-компл	_	_
188	правый	правый	N	N	Ncmsny	233	композ	_	_
189	лицензия	лицензия	N	N	Ncfsnn	233	предик	_	_
190	основываться	основываться	V	V	Vmn----m-e	189	1-компл	_	_
191	нажать	нажать	V	V	Vmn----a-p	190	1-компл	_	_
192	указать	указать	V	V	Vmn----a-p	191	1-компл	_	_
193	билет	билет	N	N	Ncmsan	192	1-компл	_	_
194	появиться	появиться	V	V	Vmn----m-p	193	1-компл	_	_
195	создание	создание	N	N	Ncnsan	194	1-компл	_	_
196	собственность	собственность	N	N	Ncfsan	195	1-компл	_	_
197	качество	качество	N	N	Ncnsan	195	сочин	_	_
198	4	4	M	M	Mc---d	200	количест	_	_
199	собственный	собственный	A	A	Afpmsnf	200	опред	_	_
200	учет	учет	N	N	Ncmsnn	202	предик	_	_
201	сказываться	сказываться	V	V	Vmn----m-e	200	1-компл	_	_
202	установка	установка	N	N	Ncfsnn	197	соч-союзн	_	_
203	заседание	заседание	N	N	Ncnsan	202	предл	_	_
204	информация	информация	N	N	Ncfsnn	205	суб-копр	_	_
205	стоить	стоить	V	V	Vmn----a-e	191	2-компл	_	_
206	построить	построить	V	V	Vmn----a-p	209	опред	_	_
207	завод	завод	N	N	Ncmsan	206	1-компл	_	_
208	открытый	открыть	V	V	Vmps-smpfpa	209	опред	_	_
209	фото	фото	N	N	Ncnsnn	205	1-компл	_	_
210	наличие	наличие	N	N	Ncnsnn	230	обст	_	_
211	пол	пол	M	M	Mc	210	квазиагент	_	_
212	взглянуть	взглянуть	V	V	Vmn----a-p	210	1-компл	_	_
213	когда	когда	C	C	C	212	обст	_	_
214	решение	решение	N	N	Ncnsan	215	предик	_	_
215	этап	этап	N	N	Ncmsnn	213	подч-союзн	_	_
216	случай	случай	N	N	Ncmsan	215	квазиагент	_	_
217	гарантия	гарантия	N	N	Ncfsnn	226	предик	_	_
218	воздействовать	воздействовать	V	V	Vmn----a-e	217	1-компл	_	_
